local fonts for,本地字型
optional descriptors,選用描述子
resources used by,使用的資源
src descriptor,src描述子
URL for,URL
"font-family descriptor, @font-face",font-family描述子，@font-face
font-family property,font-family屬性
"font-feature-settings descriptor, @font-face",font-feature-settings 描述子，@font-face
font-feature-settings property,font-feature-settings 屬性
font-kerning property,font-kerning 屬性
font-size property,font-size 屬性
absolute sizes,絕對尺寸
automatically adjusting,自動調整
inheritance of,繼承
inline element height from,行内元素高
leading determined by,決定 leading
length units for,長度單位
of monospaced text,固定寬度文字
percentages for,百分比
relative sizes,相對尺寸
rounding of,四捨五入
font-size-adjust property,font-size-adjust 屬性
"font-stretch descriptor, @font-face",font-stretch 描述子，@font-face
font-stretch property,font-stretch 屬性
"font-style descriptor, @font-face",font-style描述子，@font-face
font-style property,ont-style 屬性
font-synthesis property,font-synthesis 屬性
universal selectors,通用選擇器
&&,雙和號
<...>,
<!--...-->,
*,
\,
^=,
:,
::,
",",
{..},
$=,
!important,
/,
/**...*/,
>,
--,
-...-,
#,
.,
+,
?,
'...',
"""...""",
;,
[...],
~,
~=,
|,
||,
|=,
\,跳脫字元
!,驚歎號
in !imnportant declarations,!important宣告
in value syntax,數值語法
